area,bedrooms,garage,cost/m²,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet,valor_regiao
50,2,1,38.72,1,0,0,0,0
72,2,2,54.43,1,0,0,0,1
34,2,0,68.65,1,0,0,0,1
53,2,0,37.92,1,0,0,0,0
69,1,0,22.65,0,1,0,0,0
50,2,1,52.02,1,0,0,0,0
69,2,2,61.86,1,0,0,0,2
34,1,0,41.76,0,0,0,1,0
56,2,1,49.79,1,0,0,0,1
43,1,1,87.02,1,0,0,0,1
55,2,1,71.49,1,0,0,0,1
46,2,1,41.48,1,0,0,0,0
65,3,1,42.28,1,0,0,0,0
80,2,2,26.06,0,1,0,0,0
40,2,0,50.18,1,0,0,0,1
68,3,1,40.44,1,0,0,0,0
44,2,1,51.5,1,0,0,0,1
58,2,2,49.47,1,0,0,0,0
45,1,0,45.42,0,0,0,1,1
79,3,2,61.87,1,0,0,0,1
30,1,0,39.97,0,1,0,0,0
55,2,1,61.11,1,0,0,0,0
106,3,1,46.4,1,0,0,0,2
48,2,1,42.02,1,0,0,0,0
38,1,1,70.66,1,0,0,0,1
50,2,1,33.0,1,0,0,0,0
30,2,0,63.27,1,0,0,0,0
43,1,1,113.14,1,0,0,0,2
39,2,1,38.0,1,0,0,0,0
56,1,0,30.71,0,1,0,0,0
35,1,1,126.86,0,0,0,1,2
41,1,1,88.73,1,0,0,0,1
78,2,0,73.03,1,0,0,0,1
52,2,1,36.81,1,0,0,0,0
33,1,0,81.24,1,0,0,0,1
33,1,1,102.91,0,0,0,1,2
36,1,1,95.69,1,0,0,0,1
48,2,1,51.54,1,0,0,0,1
46,2,1,44.43,1,0,0,0,0
30,1,0,55.4,0,0,0,1,1
52,2,1,55.17,1,0,0,0,1
42,1,1,141.88,0,0,0,1,1
30,1,0,78.07,0,0,0,1,1
37,1,1,115.57,0,0,0,1,2
40,1,0,76.62,1,0,0,0,1
61,2,1,60.59,1,0,0,0,1
35,1,0,31.34,0,1,0,0,0
50,1,1,67.4,1,0,0,0,1
32,1,1,112.72,0,0,0,1,2
32,1,0,68.0,0,0,0,1,1
32,1,1,89.97,0,0,0,1,1
30,1,1,63.2,0,0,0,1,1
50,2,1,52.32,1,0,0,0,1
73,2,1,99.05,1,0,0,0,1
68,3,1,48.6,1,0,0,0,1
34,1,0,35.76,1,0,0,0,0
53,2,1,44.7,1,0,0,0,0
30,1,0,71.03,1,0,0,0,1
85,2,1,16.55,0,1,0,0,0
82,2,0,56.27,0,1,0,0,1
41,2,0,42.68,1,0,0,0,0
90,2,2,73.04,1,0,0,0,1
56,2,1,50.75,1,0,0,0,0
50,2,0,85.78,1,0,0,0,1
44,2,1,52.75,1,0,0,0,0
75,3,2,48.64,1,0,0,0,0
45,2,1,104.96,1,0,0,0,2
33,1,0,111.42,1,0,0,0,2
55,2,1,39.31,1,0,0,0,0
91,2,1,30.92,0,1,0,0,0
35,1,1,66.63,1,0,0,0,0
60,2,1,31.25,1,0,0,0,0
65,3,1,43.91,1,0,0,0,0
65,2,1,69.68,1,0,0,0,1
34,1,0,75.79,1,0,0,0,1
31,1,1,101.65,1,0,0,0,1
65,3,1,38.37,1,0,0,0,0
40,2,1,82.7,1,0,0,0,1
30,1,0,41.93,0,0,0,1,0
70,2,1,52.66,1,0,0,0,1
61,2,2,81.1,1,0,0,0,1
38,1,1,96.11,1,0,0,0,1
38,1,0,35.97,0,0,1,0,0
45,2,1,35.47,1,0,0,0,0
70,3,0,19.3,0,1,0,0,0
96,1,0,19.51,0,1,0,0,0
30,0,0,70.43,1,0,0,0,1
120,2,1,12.66,0,1,0,0,0
35,1,0,38.49,0,0,1,0,0
